日期,开盘价,最高价,收盘价,最低价,交易量(股),交易金额(元)
2017-12-29,3295.246,3308.225,3307.172,3292.77,14158683600,1.70357E+11
2017-12-28,3272.291,3304.096,3296.385,3263.728,17537167000,2.0802E+11
2017-12-27,3302.461,3307.08,3275.783,3270.349,16267489000,1.98265E+11
2017-12-26,3277.837,3307.299,3306.125,3274.327,14243450100,1.74679E+11
2017-12-25,3296.211,3312.3,3280.461,3270.441,14689363500,1.77294E+11
2017-12-22,3297.685,3307.328,3297.063,3293.442,12404732600,1.52099E+11
2017-12-21,3281.118,3309.223,3300.059,3267.404,14212792700,1.7374E+11
2017-12-20,3296.74,3300.212,3287.606,3276.12,13774511800,1.67962E+11
2017-12-19,3266.019,3296.94,3296.538,3266.019,11514013400,1.50787E+11
2017-12-18,3268.034,3280.544,3267.922,3254.178,12070038900,1.49738E+11
2017-12-15,3287.529,3287.529,3266.137,3259.388,13094061800,1.61878E+11
2017-12-14,3302.932,3309.53,3292.439,3282.573,12054423500,1.51346E+11
2017-12-13,3278.397,3304.01,3303.037,3273.325,11199864700,1.45295E+11
2017-12-12,3320.31,3320.31,3280.814,3280.329,12460482700,1.60979E+11
2017-12-11,3290.488,3322.674,3322.196,3288.295,13196598400,1.72986E+11
2017-12-8,3264.478,3297.13,3289.992,3258.759,13320931400,1.65762E+11
2017-12-7,3283.279,3291.282,3272.054,3259.164,13210590000,1.61765E+11
2017-12-6,3291.313,3296.201,3293.965,3254.611,15160445200,1.79174E+11
2017-12-5,3301.691,3315.737,3303.675,3300.512,20827886200,2.4349E+11
2017-12-4,3310.381,3323.996,3309.618,3304.103,14805328800,1.85025E+11
2017-12-1,3315.105,3324.516,3317.617,3302.44,13919830000,1.7749E+11
2017-11-30,3328.643,3340.92,3317.188,3306.283,15659585100,1.92077E+11
2017-11-29,3335.567,3343.062,3337.862,3305.572,18380593200,2.17769E+11
2017-11-28,3311.232,3333.8,3333.657,3300.781,13824779900,1.67063E+11
2017-11-27,3346.657,3347.051,3322.23,3315.264,16643917000,2.05803E+11
2017-11-24,3340.384,3360.746,3353.821,3328.334,15956966300,2.07624E+11
2017-11-23,3425.009,3429.424,3351.918,3342.332,21526539300,2.70469E+11
2017-11-22,3417.331,3442.178,3430.464,3404.287,21356709300,2.73675E+11
2017-11-21,3382.36,3419.802,3410.498,3377.599,19687180300,2.65304E+11
2017-11-20,3361.356,3393.106,3392.399,3337.116,17652468300,2.28308E+11
2017-11-17,3392.683,3403.286,3382.908,3373.296,24945815300,3.1375E+11
2017-11-16,3393.194,3409.653,3399.25,3390.589,15668433200,2.20862E+11
2017-11-15,3416.211,3423.75,3402.525,3396.381,16879207600,2.39734E+11
2017-11-14,3446.545,3450.495,3429.548,3419.692,19647267400,2.67435E+11
2017-11-13,3435.184,3449.164,3447.836,3435.085,20538905400,2.66738E+11
2017-11-10,3423.185,3438.792,3432.673,3414.329,18927650300,2.55772E+11
2017-11-9,3410.672,3428.77,3427.795,3408.619,15865042600,2.05434E+11
2017-11-8,3409.147,3434.492,3415.46,3404.881,18543647000,2.42026E+11
2017-11-7,3389.472,3415.148,3413.575,3387.946,19057174600,2.42596E+11
2017-11-6,3369.685,3389.383,3388.174,3356.534,15463646800,2.04311E+11
2017-11-3,3377.736,3380.57,3371.744,3347.36,17271479000,2.07438E+11
2017-11-2,3391.652,3391.652,3383.31,3372.213,16686426700,2.10015E+11
2017-11-1,3393.968,3410.352,3395.913,3388.598,18056612700,2.31978E+11
2017-10-31,3380.999,3397.099,3393.342,3376.124,15349820600,1.9993E+11
2017-10-30,3413.868,3419.732,3390.337,3357.276,20834928600,2.57777E+11
2017-10-27,3404.498,3421.103,3416.812,3402.114,17025717300,2.12377E+11
2017-10-26,3397.519,3414.242,3407.567,3391.455,18376862500,2.38596E+11
2017-10-25,3384.858,3398.304,3396.898,3382.034,12313122200,1.60061E+11
2017-10-24,3376.599,3388.689,3388.248,3374.125,13989751100,1.78553E+11
2017-10-23,3382.28,3385.285,3380.699,3374.705,13084628900,1.64369E+11
2017-10-20,3363.514,3379.765,3378.648,3360.1,12717285100,1.55065E+11
2017-10-19,3374.644,3378.736,3370.172,3359.628,15847649500,1.87921E+11
2017-10-18,3373.528,3383.232,3381.794,3371.925,15722879100,1.94299E+11
2017-10-17,3373.234,3382.407,3372.041,3365.565,12538172500,1.62911E+11
2017-10-16,3393.206,3400.511,3378.47,3374.769,17433062000,2.21651E+11
2017-10-13,3384.488,3395.748,3390.523,3383.239,13995476400,1.81118E+11
2017-10-12,3385.533,3390.204,3386.1,3372.533,16180938000,2.01668E+11
2017-10-11,3381.488,3395.779,3388.284,3379.163,18147670400,2.31155E+11
2017-10-10,3373.345,3384.026,3382.988,3358.795,17942384100,2.31149E+11
2017-10-9,3403.246,3410.17,3374.378,3366.965,19173605700,2.27441E+11
